state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct,Dose1_diff,Dose2_diff
ND,2021,4,0.05646341463414632,0.8497804878048779,0.09380487804878047,0.0945658536585366,0.04439024390243903,0.010975609756097562,0.2426829268292683,0.18439024390243905,0.2004878048780488,36.9,27.710000000000004,0.0,10.92580645161291,14.132580645161298
ND,2021,5,0.0703939393939394,0.8626969696969697,0.06693939393939392,0.04605454545454546,0.08424242424242424,0.027272727272727275,0.11909090909090912,0.10848484848484848,0.20606060606060608,40.69032258064517,34.974193548387106,0.0,3.7903225806451744,7.264193548387102
ND,2021,6,0.0322,0.8556400000000002,0.11216,0.324608,0.1468,0.02,0.0944,0.1312,0.28800000000000003,43.07666666666668,37.73,0.0,2.3863440860215093,2.755806451612891
ND,2021,7,0.0943653846153846,0.8335192307692307,0.07207692307692308,-0.04303653846153846,0.08673076923076922,0.040769230769230766,0.09384615384615384,0.1946153846153846,0.21846153846153848,44.6032258064516,39.5290322580645,0.0,1.526559139784915,1.7990322580645
ND,2021,8,0.07987037037037037,0.8020740740740742,0.11805555555555555,0.09899074074074073,0.13037037037037036,0.0014814814814814814,0.12351851851851853,0.1675925925925926,0.2805555555555556,46.85161290322579,40.82903225806452,0.0,2.248387096774195,1.3000000000000256
ND,2021,9,0.08891428571428571,0.8350285714285715,0.07605714285714285,-0.014542857142857156,0.06371428571428571,0.0,0.09914285714285713,0.17685714285714288,0.3742857142857143,49.80333333333334,42.94666666666667,0.0,2.9517204301075495,2.11763440860215
ND,2021,10,0.09596153846153846,0.8332692307692308,0.0706923076923077,-0.07487307692307693,0.10384615384615384,0.0673076923076923,0.235,0.14807692307692308,0.2915384615384615,52.21612903225806,45.23870967741936,3.7741935483870974,2.412795698924718,2.2920430107526855
ND,2021,11,0.05221052631578947,0.8182105263157894,0.12957894736842107,0.19816315789473687,0.29368421052631577,0.013157894736842105,0.05263157894736842,0.17105263157894735,0.15368421052631578,56.34,48.04666666666667,20.36,4.123870967741944,2.807956989247309
ND,2021,12,0.12053846153846155,0.8476923076923076,0.031769230769230765,-0.10630000000000003,0.038461538461538464,0.050769230769230775,0.07692307692307693,0.16653846153846155,0.16653846153846155,60.66451612903226,51.18709677419354,32.625806451612895,4.324516129032254,3.140430107526875
ND,2022,1,0.0552142857142857,0.866,0.07885714285714285,0.10055714285714286,0.1392857142857143,0.03214285714285715,0.16285714285714287,0.1985714285714286,0.17785714285714288,63.20645161290322,53.351612903225785,38.41935483870967,2.541935483870965,2.1645161290322434
ND,2022,2,0.13916666666666666,0.7061666666666667,0.15466666666666667,-0.2676166666666667,0.05666666666666668,0.03333333333333333,0.4616666666666666,0.09000000000000001,0.19000000000000006,64.2785714285714,54.23571428571425,40.05357142857143,1.0721198156681737,0.8841013824884669
ND,2022,3,0.044,0.8791428571428571,0.077,-0.0331,0.14285714285714285,0.0,0.03571428571428571,0.25,0.14285714285714285,64.55806451612904,54.55161290322582,40.27096774193549,0.2794930875576398,0.31589861751157144
ND,2022,4,0.038428571428571416,0.8591428571428572,0.10257142857142856,0.1512571428571429,0.14285714285714285,0.0,0.07142857142857142,0.26142857142857145,0.09571428571428572,64.76333333333335,54.75333333333335,40.38333333333332,0.20526881720431334,0.20172043010752816
ND,2022,5,0.11199999999999992,0.7190000000000001,0.16899999999999998,0.16953333333333334,0.08333333333333333,0.0,0.5966666666666667,0.04,0.2766666666666667,65.62580645161292,55.61290322580646,42.761290322580656,0.8624731182795671,0.859569892473111
ND,2022,6,0.0,0.8644000000000001,0.1356,0.1495,0.25,0.0,0.2,0.3,0.05,65.97222222222223,55.888888888888864,43.48333333333332,0.34641577060931183,0.2759856630824018
ND,2022,7,0.05339999999999998,0.8949999999999999,0.0518,0.0356,0.0,0.0,0.266,0.132,0.4,66.45,56.2,44.475,0.4777777777777743,0.3111111111111384
ND,2022,8,0.02725,0.9005000000000001,0.07224999999999998,0.088575,0.125,0.0625,0.1875,0.0625,0.3125,66.88,56.54,45.16,0.4299999999999926,0.3399999999999963
ND,2022,9,0.0192,0.9012,0.0794,0.29802,0.12000000000000002,0.0,0.2,0.3,0.18,67.30000000000001,56.8,45.625,0.4200000000000159,0.259999999999998
ND,2022,10,0.11742857142857145,0.7427142857142857,0.13985714285714287,-0.056485714285714285,0.32857142857142857,0.07142857142857142,0.1,0.21428571428571427,0.0,67.9,57.375,46.4,0.5999999999999943,0.5750000000000028
NE,2021,1,0.07450775193798449,0.8352325581395349,0.0902713178294574,0.04729883720930232,0.13127906976744189,0.036356589147286816,0.10810077519379843,0.15519379844961234,0.2432945736434108,0.0,0.0,0.0,-67.9,-57.375
NE,2021,2,0.06233658536585364,0.8463951219512196,0.09126341463414632,0.048669756097560975,0.09829268292682923,0.03219512195121951,0.13268292682926827,0.1744390243902439,0.28390243902439016,7.182142857142857,0.0,0.0,7.182142857142857,0.0
NE,2021,3,0.06991878172588832,0.8423959390862947,0.08770558375634517,0.06197868020304565,0.1298477157360406,0.03553299492385787,0.14862944162436548,0.12558375634517766,0.22472081218274104,23.338709677419356,12.154838709677426,0.0,16.1565668202765,12.154838709677426
