state,Year,Month,Week,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
OH,2021,8,31,0.08103561643835613,0.8279315068493149,0.09103287671232874,0.0035468493150684908,0.09424657534246574,0.03816438356164384,0.13115068493150683,0.17591780821917807,0.25879452054794516,50.300000000000004,46.74285714285715,0.0
OH,2021,8,32,0.0898774193548387,0.8057645161290325,0.10433225806451614,0.03573032258064518,0.1044838709677419,0.049258064516129026,0.14009677419354838,0.1285806451612903,0.2643870967741936,50.9,47.1,0.0
OH,2021,8,33,0.07978501628664496,0.8243289902280131,0.09590879478827365,0.015998045602605857,0.12205211726384362,0.049218241042345276,0.10664495114006506,0.16384364820846906,0.23195439739413684,51.51428571428572,47.55714285714286,0.0
OH,2021,8,34,0.06849160671462831,0.8185347721822548,0.11296402877697848,0.08361366906474818,0.12707434052757788,0.03294964028776978,0.1262589928057554,0.18760191846522783,0.22822541966426854,52.11428571428571,48.028571428571425,0.0
OH,2021,8,35,0.09475652173913045,0.8130782608695653,0.09219130434782609,-0.020825217391304347,0.10086956521739131,0.028347826086956525,0.13130434782608696,0.1537391304347826,0.19408695652173913,52.45,48.4,0.0
OH,2021,9,35,0.07740837696335079,0.8080628272251309,0.11452879581151834,0.045681675392670165,0.1280104712041885,0.03287958115183246,0.11963350785340313,0.1864397905759162,0.21324607329842926,52.71999999999999,48.6,0.0
OH,2021,9,36,0.07787671232876713,0.8105205479452056,0.11159360730593611,0.005166666666666663,0.0852511415525114,0.04625570776255708,0.11109589041095888,0.19821917808219172,0.21616438356164377,53.08571428571428,48.98571428571428,0.0
OH,2021,9,37,0.07939545454545457,0.8185090909090906,0.10210454545454546,0.02065999999999999,0.08545454545454544,0.028090909090909093,0.11899999999999995,0.15918181818181817,0.24886363636363634,53.48571428571428,49.4,0.0
OH,2021,9,38,0.08472486772486777,0.8046560846560841,0.11062433862433857,0.06358994708994707,0.0949206349206349,0.04396825396825397,0.11513227513227513,0.15232804232804237,0.30814814814814817,53.82857142857142,49.81428571428571,0.0
OH,2021,9,39,0.07999999999999999,0.839752577319588,0.08019587628865982,-0.003359793814432982,0.08577319587628866,0.08597938144329897,0.11927835051546393,0.1411340206185567,0.1964948453608247,54.15,50.15,0.0
OH,2021,10,39,0.11693220338983051,0.7912203389830506,0.09183050847457627,-0.10320169491525423,0.08474576271186442,0.059322033898305086,0.10694915254237289,0.12050847457627119,0.27254237288135597,54.333333333333336,50.333333333333336,0.0
OH,2021,10,40,0.08076271186440684,0.790542372881356,0.12869491525423726,0.052811016949152564,0.10118644067796612,0.05847457627118644,0.1409322033898305,0.12508474576271186,0.3454237288135593,54.642857142857146,50.714285714285715,0.0
OH,2021,10,41,0.07960937500000002,0.8118046874999999,0.10859375000000002,0.039741406249999965,0.07257812500000001,0.049765625,0.12414062499999999,0.14210937499999995,0.24351562500000004,54.98571428571428,51.04285714285714,0.0
OH,2021,10,42,0.0979591836734694,0.8141224489795919,0.08795238095238095,-0.051583673469387734,0.10496598639455783,0.07312925170068027,0.0980952380952381,0.19544217687074825,0.2217687074829932,55.34285714285714,51.42857142857143,4.957142857142857
OH,2021,10,43,0.052208333333333336,0.8358854166666664,0.11193749999999997,0.12990000000000004,0.10385416666666668,0.0415625,0.13197916666666668,0.1446875,0.2440625,55.7,51.728571428571435,9.342857142857143
OH,2021,11,44,0.06393798449612403,0.8301395348837212,0.10595348837209304,0.07750852713178297,0.08403100775193799,0.08837209302325581,0.12193798449612403,0.16984496124031007,0.2329457364341085,56.02857142857142,52.02857142857142,13.27142857142857
