state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
AZ,2022,1,0.07796485623003192,0.8306597444089451,0.09138019169329067,0.021920607028754025,0.07522364217252396,0.03886581469648562,0.10650159744408946,0.17597444089456868,0.28530351437699664,68.8258064516129,57.98064516129031,34.16129032258065
AZ,2022,2,0.06266816143497757,0.8643991031390136,0.07291928251121077,0.04339910313901348,0.09690582959641256,0.03860986547085202,0.14995515695067257,0.15089686098654706,0.22686098654708514,70.92857142857143,59.557142857142864,38.70357142857143
AZ,2022,3,0.06955080213903743,0.8292459893048127,0.10122459893048132,0.0468336898395722,0.12208556149732622,0.03684491978609626,0.12032085561497324,0.14385026737967913,0.23459893048128344,71.89354838709679,60.53870967741937,40.16774193548387
AZ,2022,4,0.07998009950248758,0.8252537313432838,0.09479601990049745,0.02959800995024875,0.07786069651741293,0.022587064676616916,0.1237313432835821,0.16109452736318403,0.21144278606965167,72.65666666666668,61.24999999999998,41.31333333333334
AZ,2022,5,0.07248201438848925,0.8467266187050358,0.08079856115107914,0.024959712230215828,0.1097841726618705,0.08338129496402878,0.09273381294964028,0.19870503597122302,0.2993525179856115,73.33225806451611,61.79354838709675,42.322580645161295
AZ,2022,6,0.08437837837837836,0.8153783783783781,0.10024324324324323,0.10480450450450453,0.12189189189189188,0.02747747747747748,0.13261261261261262,0.14387387387387388,0.2854954954954955,73.82777777777778,62.150000000000006,43.11111111111111
AZ,2022,7,0.08252173913043477,0.8080362318840579,0.10944927536231888,0.05172101449275362,0.11615942028985508,0.02347826086956522,0.12528985507246376,0.17014492753623184,0.2528985507246376,74.625,62.575,44.2
AZ,2022,8,0.10498425196850393,0.7873622047244093,0.10766141732283462,-0.021616535433070867,0.09771653543307086,0.03897637795275591,0.10606299212598426,0.1960629921259842,0.2620472440944882,75.25999999999999,62.98,44.9
AZ,2022,9,0.09874324324324323,0.8260810810810809,0.07516216216216216,-0.06087162162162161,0.06405405405405405,0.05094594594594595,0.147027027027027,0.24189189189189184,0.2118918918918919,75.69999999999999,63.325,45.300000000000004
AZ,2022,10,0.07439814814814813,0.8514166666666667,0.07417592592592592,-0.018325000000000004,0.09185185185185184,0.051203703703703696,0.09305555555555557,0.1661111111111111,0.3287962962962962,76.30000000000001,63.74999999999999,45.925
AZ,2022,11,0.11279999999999998,0.8061272727272728,0.08103636363636363,-0.10554181818181818,0.10472727272727272,0.017272727272727273,0.17163636363636367,0.17945454545454545,0.3454545454545454,76.375,65.425,48.87499999999999
CA,2021,1,0.08525386130403254,0.8189182129159319,0.09582491966414416,0.021606292111537355,0.10532600808541574,0.043777340105732226,0.12196537783767032,0.1689032859956461,0.2543609412252508,0.0,0.0,0.0
CA,2021,2,0.06789719963866318,0.8317364046973805,0.1003647696476966,0.06869427280939464,0.11656729900632351,0.04097380307136402,0.11919241192411928,0.15935140018066926,0.2521969286359527,7.596428571428572,0.0,0.0
CA,2021,3,0.06637946282345242,0.8336297084834571,0.09998968227972488,0.06743422862757943,0.1237897150343927,0.042828365542089755,0.12419423517851319,0.15352276449394095,0.2344071405175236,22.52258064516129,10.09032258064516,0.0
CA,2021,4,0.06777797473964117,0.8322448482162613,0.09998227343230683,0.06551475736760468,0.11939064923554145,0.03675603811212056,0.11289607799689759,0.1585220474185687,0.22973410148460058,40.74666666666667,23.31666666666666,0.0
CA,2021,5,0.0679109336609337,0.8331388206388223,0.09895147420147422,0.05405718673218652,0.11451167076167063,0.039643734643734656,0.1199262899262897,0.1639465601965598,0.24219594594594585,53.103225806451604,37.74516129032258,0.0
CA,2021,6,0.06478713802181274,0.8447107935314007,0.09050169236555099,0.04652997367431356,0.0968559608875517,0.03096276795787891,0.10981948100789757,0.17324558104550558,0.22621662279052263,59.230000000000004,46.776666666666664,0.0
CA,2021,7,0.0818726937269372,0.8297758302583004,0.08835424354243568,0.0012419049815498304,0.08447186346863458,0.03486162361623617,0.10602629151291497,0.17952490774907764,0.23039667896679017,63.08709677419355,51.45161290322581,0.0
CA,2021,8,0.0767533512064343,0.8276167895442376,0.0956305294906168,0.017377362600536114,0.10835790884718507,0.03965315013404826,0.11383042895442372,0.15836293565683704,0.22959617962466497,66.97419354838709,54.34838709677419,0.0
CA,2021,9,0.08565630573248408,0.8194820382165576,0.09486547770700644,0.00696338853503185,0.10967388535031823,0.0355847133757962,0.11633630573248385,0.16289681528662406,0.23858853503184735,70.41000000000001,57.51999999999999,0.0
CA,2021,10,0.0792098312545855,0.8262336757153332,0.09455099046221571,0.032474908290535565,0.10511371973587673,0.03585106382978724,0.1186390315480557,0.14415260454878923,0.2515003668378577,73.20967741935483,60.216129032258074,2.693548387096774
CA,2021,11,0.07547486932046647,0.8258580619219946,0.09866546039404908,0.035320587052673796,0.10524728588661038,0.04094089264173704,0.1324045034177724,0.15433453960595095,0.23866103739445113,76.69666666666666,62.28333333333334,14.969999999999997
CA,2021,12,0.07270852593733955,0.8362401129943483,0.09104519774011288,0.04281779661016954,0.09371340523882873,0.039322033898305075,0.1208089368258858,0.1622162300975862,0.22202876219825438,81.05483870967743,64.98709677419355,27.558064516129033
CA,2022,1,0.0746140803538518,0.8366225580538161,0.0887677847401401,0.03982023590121629,0.10416881680796161,0.038297088094360505,0.11558791006266114,0.1729671949870988,0.2331957242904536,83.93225806451612,67.57741935483871,38.91290322580646
CA,2022,2,0.07588305709023936,0.8249880294659293,0.0991289134438306,0.06069852670349913,0.10499079189686927,0.044456721915285435,0.12337937384898714,0.1788029465930018,0.27064456721915287,81.25,69.83214285714287,47.00714285714285
CA,2022,3,0.07131236897274633,0.8299622641509435,0.0987327044025157,0.039256184486373184,0.10617400419287211,0.03601677148846959,0.11743186582809229,0.17299790356394124,0.24716981132075466,82.20322580645163,70.84193548387097,49.012903225806454
CA,2022,4,0.07488288288288289,0.83129954954955,0.09381756756756754,0.03901936936936937,0.09547297297297297,0.03774774774774774,0.12802927927927935,0.17516891891891892,0.2760360360360362,83.14999999999999,71.61999999999999,50.20333333333334
CA,2022,5,0.06649338374291114,0.8358591682419654,0.09764272211720215,0.07776398865784492,0.12383742911153123,0.04267485822306237,0.1142533081285445,0.19413988657845005,0.26194706994328926,82.93225806451616,72.36129032258064,52.15483870967743
CA,2022,6,0.06927071178529759,0.8263045507584603,0.10441890315052504,0.06346394399066514,0.13861143523920658,0.04520420070011665,0.10347724620770128,0.1911901983663945,0.2444924154025673,82.65555555555554,72.69999999999999,53.68333333333332
CA,2022,7,0.07326836734693877,0.8389765306122454,0.087754081632653,0.045378673469387704,0.09515306122448981,0.043469387755102035,0.1301122448979592,0.18963265306122454,0.24833673469387782,83.35,73.0,55.0
CA,2022,8,0.0766568123393316,0.8331503856041135,0.09019023136246797,0.015887532133676115,0.11293059125964014,0.0459254498714653,0.105694087403599,0.16660668380462731,0.2523136246786632,83.9,73.36,55.6
CA,2022,9,0.06725790349417635,0.8436056572379372,0.08913144758735435,0.027569217970049926,0.09206322795341099,0.047953410981697156,0.11851913477537436,0.16440931780366058,0.283793677204659,84.25,73.65,55.95
CA,2022,10,0.09247745358090181,0.815273209549071,0.09225729442970818,-0.009351591511936305,0.09120689655172412,0.05738726790450934,0.14448275862068977,0.17864721485411153,0.27458885941644556,85.0,74.125,55.925
CA,2022,11,0.07716772151898732,0.823028481012658,0.0998006329113924,0.04305696202531645,0.0879430379746835,0.044177215189873414,0.12221518987341769,0.19873417721518982,0.2838924050632912,85.52499999999999,74.475,56.275
CO,2021,1,0.07828106151990351,0.8286103739445104,0.09309288299155598,0.037477683956574186,0.10354644149577806,0.036308805790108555,0.1145717732207479,0.15125452352231605,0.23806996381182158,0.0,0.0,0.0
CO,2021,2,0.07102890173410409,0.8270158959537574,0.10196098265895946,0.06923887283236993,0.12216763005780348,0.03997109826589594,0.1172976878612717,0.12822254335260116,0.21764450867052018,7.717857142857142,0.0,0.0
